"Story","Title","Result","Date","Stability","Duration (s)"
"Login Spotify","Login successfully in Spotify","PENDING","2023-11-16T18:48:20.63032-05:00[America/Bogota]","0.0","0.26"
"Login Spotify","Login successfully in Spotify","SUCCESS","2023-11-16T19:25:31.2248162-05:00[America/Bogota]","0.0","157.63"
"Add product to cart","Add product to cart success","ERROR","2023-11-24T00:14:54.0999646-05:00[America/Bogota]","0.0","0.44"
"Add product to cart","Add product to cart success","SUCCESS","2023-11-24T00:16:03.6586166-05:00[America/Bogota]","0.0","20.91"
"Add cart","Add a product from the Exito store to the cart","ERROR","2023-11-22T18:41:58.6491123-05:00[America/Bogota]","0.0","0.54"
"Add cart","Add a product from the Exito store to the cart","SUCCESS","2023-11-22T23:30:23.5958615-05:00[America/Bogota]","0.0","49.4"
"Play song","Play song successfully in Spotify","SUCCESS","2023-11-22T23:54:47.09389-05:00[America/Bogota]","0.0","78.46"
