"Story","Title","Result","Date","Stability","Duration (s)"
"Login Spotify","Login successfully in Spotify","SUCCESS","2023-11-15T17:44:04.6025168-05:00[America/Bogota]","0.0","0.25"
"Login Spotify","Login successfully in Spotify","SUCCESS","2023-11-16T16:48:43.806065-05:00[America/Bogota]","0.0","15.8"
