"Story","Title","Result","Date","Stability","Duration (s)"
"Login Spotify","Login successfully in Spotify","PENDING","2023-11-16T18:48:20.63032-05:00[America/Bogota]","0.0","0.26"
"Add cart","Add a product from the Exito store to the cart","ERROR","2023-11-20T22:46:50.9447121-05:00[America/Bogota]","0.0","0.31"
